usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2094,dat_2,,upload data,data,0,3420,3421,1,2094_1,3
2094,dat_2,,upload data,data,0,3441,3442,1,2094_1,3
2094,dat_2,,upload data,data,0,3451,3452,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,3460,3461,1,2094_1,3
2094,dat_11,,Specify Column: target,data,0,3474,3475,1,2094_1,3
2094,vis_1,,Visualization Link,visualization,1,3490,3491,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,3490,3491,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,3504,3505,1,2094_1,3
2094,hlp_4,,Vis Example(s),help,3,3577,3578,1,2094_1,3
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,3577,3578,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,3585,3586,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,3827,3828,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,3941,3942,1,2094_1,3
2094,dat_4,,x (delete),data,0,0,1,2,2094_2,4
2094,dat_4,,x (delete),data,0,4,5,2,2094_2,4
2094,dat_1,,New Network,data,0,6,7,2,2094_2,4
2094,dat_2_LT,,Upload new Link table,data,0,39,40,2,2094_2,4
2094,dat_2,,upload data,data,0,159,160,2,2094_2,4
2094,dat_2,,upload data,data,0,174,180,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,194,195,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,203,204,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,233,234,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,289,290,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,293,294,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,298,300,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,315,319,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,327,328,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,334,343,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,347,348,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,353,354,2,2094_2,4
2094,log_2,,Visit Page ,logging,2,359,360,2,2094_2,4
2094,log_2,,Visit Page ,logging,2,364,365,2,2094_2,4
2094,log_2,,Visit Page ,logging,2,366,367,2,2094_2,4
2094,dat_1,,New Network,data,0,400,401,2,2094_2,4
2094,dat_2_LT,,Upload new Link table,data,0,459,460,2,2094_2,4
2094,dat_2,,upload data,data,0,547,548,2,2094_2,4
2094,dat_2,,upload data,data,0,552,553,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,563,564,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,569,570,2,2094_2,4
2094,dat_11,,Specify Column: target,data,0,598,599,2,2094_2,4
2094,vis_1,,Visualization Link,visualization,1,615,616,2,2094_2,4
2094,log_2,Node-Link,Visit Page Node-Link,logging,2,616,617,2,2094_2,4
2094,vis_41,Node-Link,Zoom,visualization,1,627,633,2,2094_2,4
2094,vis_41,Node-Link,Zoom,visualization,1,634,640,2,2094_2,4
2094,vis_9,Node-Link,Nodelink Labeling-Show All,visualization,1,735,736,2,2094_2,4
2094,vis_41,Node-Link,Zoom,visualization,1,739,740,2,2094_2,4
2094,vis_32,Node-Link,Link,visualization,1,765,766,2,2094_2,4
2094,vis_30,Node-Link,Node,visualization,1,765,766,2,2094_2,4
2094,vis_32,Node-Link,Link,visualization,1,766,767,2,2094_2,4
2094,vis_30,Node-Link,Node,visualization,1,766,767,2,2094_2,4
